measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
2014 Sep 14,164.48,69.60,47000,33400
2014 Sep 15,165.42,69.75,42500,35500
2014 Sep 16,166.27,69.28,36500,33200
2014 Sep 17,166.72,68.90,34500,31100
2014 Sep 18,166.65,70.67,49000,41800
2014 Sep 19,166.76,71.53,54500,45700
2014 Sep 20,167.70,71.49,49000,45600
2014 Sep 21,167.86,70.62,30000,41300
2014 Sep 22,168.40,68.36,25800,27700
2014 Sep 23,168.51,67.78,22000,23500
2014 Sep 24,168.28,67.78,22000,23300
2014 Sep 25,167.88,67.94,20500,24500
2014 Sep 26,167.64,67.92,23200,26400
2014 Sep 27,167.77,67.89,28000,24600
2014 Sep 28,168.30,67.86,29000,24400
2014 Sep 29,166.76,67.87,25500,24400
2014 Sep 30,168.48,67.76,25500,24300
2014 Oct 01,169.19,66.85,23500,17800
2014 Oct 02,169.90,65.28,22000,17400
2014 Oct 03,170.28,65.33,20000,17400
2014 Oct 04,170.70,65.31,21000,17300
2014 Oct 05,171.21,65.13,20000,17300
2014 Oct 06,171.77,65.75,21200,17300
2014 Oct 07,172.13,66.15,18800,17300
2014 Oct 08,172.39,65.19,17400,17100
2014 Oct 09,172.07,65.40,14500,18800
2014 Oct 10,171.98,66.01,14500,16900
2014 Oct 11,172.21,64.58,13700,12900
2014 Oct 12,172.37,64.99,12900,12600
2014 Oct 13,172.51,64.98,13700,12600
2014 Oct 14,173.26,64.71,14800,10800
2014 Oct 15,173.26,64.71,14800,10800
2014 Oct 16,173.16,64.59,13500,14100
2014 Oct 17,173.19,64.79,13000,14100
2014 Oct 18,173.15,64.93,13000,14100
2014 Oct 19,173.20,64.60,13000,14100
2014 Oct 20,173.29,64.86,15000,14100
2014 Oct 21,173.66,64.64,13500,11300
2014 Oct 22,173.95,64.90,12200,9980
2014 Oct 23,174.22,65.62,11500,9900
2014 Oct 24,174.40,65.74,12000,10000
2014 Oct 25,174.61,65.77,11500,10600
2014 Oct 26,174.69,65.61,10800,10600
2014 Oct 27,174.57,65.77,10800,13400
2014 Oct 28,174.89,66.39,24000,18400
2014 Oct 29,174.89,66.36,24000,18400
2014 Oct 30,174.93,67.28,20500,22100
2014 Oct 31,175.00,66.09,14800,17800
2014 Nov 01,174.73,65.96,13500,17600
2014 Nov 02,174.51,65.42,13500,16000
2014 Nov 03,174.41,65.11,14500,14900
2014 Nov 04,174.33,65.42,13500,15900
2014 Nov 05,174.21,65.10,12700,15900
2014 Nov 06,173.83,64.71,11500,15900
2014 Nov 07,173.45,65.25,10500,16000
2014 Nov 08,173.36,65.21,10000,11700
2014 Nov 09,173.30,65.11,9800,11700
2014 Nov 10,173.27,64.75,9600,11700
2014 Nov 11,173.29,64.52,9200,10800
2014 Nov 12,173.31,64.81,9200,10800
2014 Nov 13,173.33,65.36,9200,10800
2014 Nov 14,173.26,64.97,8000,10100
2014 Nov 15,173.37,64.99,7700,8470
2014 Nov 16,173.48,64.97,7500,7070
2014 Nov 17,173.57,65.42,7400,7090
2014 Nov 18,173.68,65.47,7100,6400
2014 Nov 19,173.84,65.40,7000,6360
2014 Nov 20,173.97,65.36,6800,6360
2014 Nov 21,174.07,65.28,7100,6350
2014 Nov 22,174.18,65.32,7000,6340
2014 Nov 23,174.25,65.48,7000,6350
2014 Nov 24,174.30,65.30,7000,5970
2014 Nov 25,174.42,65.33,7000,6320
2014 Nov 26,174.50,64.89,7500,7000
2014 Nov 27,174.54,65.22,7900,6880
2014 Nov 28,174.58,64.95,7800,7390
2014 Nov 29,174.75,64.83,8200,7000
2014 Nov 30,174.75,64.83,8200,7000
2014 Dec 01,174.76,65.27,7200,8420
2014 Dec 02,174.71,65.37,7500,8430
2014 Dec 03,174.86,64.89,7700,8400
2014 Dec 04,174.51,65.74,7400,9070
2014 Dec 05,174.25,63.96,7000,9530
2014 Dec 06,174.03,64.02,7200,9540
2014 Dec 07,173.80,64.16,6800,9570
2014 Dec 08,173.48,64.14,6800,9600
2014 Dec 09,173.36,65.10,6400,8720
2014 Dec 10,173.41,65.00,6600,7630
2014 Dec 11,173.41,65.52,7000,7170
2014 Dec 12,173.44,65.57,6400,7180
2014 Dec 13,173.37,65.30,6200,7170
2014 Dec 14,173.37,65.30,6200,7170
2014 Dec 15,173.25,65.14,6300,7160
2014 Dec 16,173.18,65.15,6200,7170
2014 Dec 17,173.12,65.30,6000,7180
2014 Dec 18,173.06,65.20,6900,7180
2014 Dec 19,172.97,64.86,5900,7150
2014 Dec 20,172.89,65.02,6000,6730
2014 Dec 21,172.92,65.30,5900,6740
2014 Dec 22,172.77,65.27,5800,7200
2014 Dec 23,172.74,65.52,5800,7310
2014 Dec 24,172.58,65.18,5900,7600
2014 Dec 25,172.47,65.05,5900,7300
2014 Dec 26,172.34,65.15,5900,7570
2014 Dec 27,172.24,65.28,5600,7580
2014 Dec 28,172.07,65.05,5400,7580
2014 Dec 29,171.85,64.84,5200,7530
2014 Dec 30,171.72,64.98,5200,7210
2014 Dec 31,171.49,65.25,5300,7240
2015 Jan 01,171.45,65.28,5200,6440
2015 Jan 02,171.38,65.38,5100,6460
2015 Jan 03,171.31,65.20,4900,6450
2015 Jan 04,171.19,65.24,5000,6450
2015 Jan 05,171.06,65.25,4700,6460
2015 Jan 06,170.97,65.11,4900,6460
2015 Jan 07,170.95,65.07,5300,6450
2015 Jan 08,170.92,65.18,5300,6460
2015 Jan 09,170.85,65.27,5400,6470
2015 Jan 10,170.84,65.21,5700,6480
2015 Jan 11,170.78,65.26,5700,6480
2015 Jan 12,170.72,65.21,5600,6450
2015 Jan 13,170.70,65.98,5900,6450
2015 Jan 14,170.67,64.77,5900,6440
2015 Jan 15,170.68,65.19,5500,6460
2015 Jan 16,170.67,65.48,5800,6470
2015 Jan 17,170.60,65.52,5900,6480
2015 Jan 18,170.62,65.37,5700,6480
2015 Jan 19,170.56,65.31,5800,6470
2015 Jan 20,170.62,65.34,6200,6470
2015 Jan 21,170.59,65.46,6200,6480
2015 Jan 22,170.49,65.47,6100,6480
2015 Jan 23,170.46,65.20,5950,6480
2015 Jan 24,170.54,65.00,6200,6450
2015 Jan 25,170.50,65.00,6200,6460
2015 Jan 26,170.50,65.19,6100,6470
2015 Jan 27,170.45,65.51,6100,5500
2015 Jan 28,170.45,65.53,6100,6500
2015 Jan 29,170.54,65.10,6100,6460
2015 Jan 30,170.55,65.00,6300,6450
2015 Jan 31,170.60,65.23,6000,6470
2015 Feb 01,170.55,65.24,5600,6460
2015 Feb 02,170.52,65.38,5600,6470
2015 Feb 03,170.56,65.16,5600,6460
2015 Feb 04,171.19,65.24,5000,6450
2015 Feb 05,170.51,65.30,5600,6470
2015 Feb 06,170.44,65.04,5500,6460
2015 Feb 07,170.44,64.99,5500,6460
2015 Feb 08,170.39,64.80,5500,6450
2015 Feb 09,170.35,64.98,5400,6460
2015 Feb 10,170.28,65.02,5300,7720
2015 Feb 11,170.14,64.75,5500,7730
2015 Feb 12,170.08,64.88,5600,7730
2015 Feb 13,170.01,65.05,5300,7810
2015 Feb 14,169.97,65.15,5400,7760
2015 Feb 15,169.89,65.44,5300,7790
2015 Feb 16,169.73,65.20,5200,7800
2015 Feb 17,169.54,65.66,5000,7820
2015 Feb 18,169.28,65.52,4900,7620
2015 Feb 19,169.09,65.29,4700,7590
2015 Feb 20,168.98,65.27,4600,7600
2015 Feb 21,168.86,65.42,4600,7630
2015 Feb 22,168.74,65.33,4800,7630
2015 Feb 23,168.62,65.36,4800,7640
2015 Feb 24,168.52,65.33,4800,7640
2015 Feb 25,168.42,65.53,5000,7660
2015 Feb 26,168.26,65.33,5000,7890
2015 Feb 27,168.11,65.18,5200,8170
2015 Feb 28,168.12,65.25,5800,8170
2015 Mar 01,168.01,65.20,5800,8160
2015 Mar 02,167.83,64.86,5200,8170
2015 Mar 03,167.60,64.56,5500,8170
2015 Mar 04,167.40,64.75,5600,8190
2015 Mar 05,167.09,64.69,6000,8200
2015 Mar 06,167.28,64.71,6100,8200
2015 Mar 07,167.12,64.76,6300,8210
2015 Mar 08,167.28,64.71,6300,8220
2015 Mar 09,167.90,64.97,5600,8220
2015 Mar 10,166.66,65.18,5500,8280
2015 Mar 11,166.53,65.17,5500,8300
2015 Mar 12,166.39,64.68,5600,6780
2015 Mar 13,166.23,64.49,5800,6780
2015 Mar 14,166.20,64.58,5800,6790
2015 Mar 15,166.05,64.54,5500,6800
2015 Mar 16,165.93,64.52,5500,6800
2015 Mar 17,165.74,64.83,5900,8330
2015 Mar 18,165.59,65.03,6100,8370
2015 Mar 19,165.46,64.93,6200,8390
2015 Mar 20,165.33,64.58,5600,8360
2015 Mar 21,165.20,64.69,6000,8370
2015 Mar 22,165.12,64.52,5900,6860
2015 Mar 23,164.97,64.90,6100,6900
2015 Mar 24,164.92,66.07,6200,6980
2015 Mar 25,164.92,65.49,6600,6950
2015 Mar 26,164.83,65.57,6600,6960
2015 Mar 27,164.75,65.45,7400,8480
2015 Mar 28,164.65,65.38,7300,8490
2015 Mar 29,164.54,65.34,7500,8500
2015 Mar 30,164.46,65.34,7600,8500
2015 Mar 31,164.46,65.32,8200,8500
2015 Apr 01,164.44,65.22,8400,8490
2015 Apr 02,164.57,65.18,9200,8480
2015 Apr 03,164.56,65.26,9500,8490
2015 Apr 04,164.88,65.17,10500,6930
2015 Apr 05,165.40,65.15,11000,6930
2015 Apr 06,165.66,65.23,9800,6800
2015 Apr 07,166.98,65.12,10000,6850
2015 Apr 08,166.30,64.71,9200,6800
2015 Apr 09,166.47,65.06,9000,8310
2015 Apr 10,166.56,65.03,9300,8360
2015 Apr 11,166.73,65.28,9400,8320
2015 Apr 12,167.79,65.45,9400,8320
2015 Apr 13,167.07,64.41,9400,6740
2015 Apr 14,167.30,64.57,9400,6730
2015 Apr 15,167.56,64.63,9100,6720
2015 Apr 16,167.64,65.76,8900,6780
2015 Apr 17,167.90,65.21,9200,6730
2015 Apr 18,167.92,64.72,9300,10700
2015 Apr 19,167.82,64.72,9150,11100
2015 Apr 20,167.45,65.18,9000,13200
2015 Apr 21,167.04,64.81,8800,13400
2015 Apr 22,166.65,64.71,8500,13400
2015 Apr 23,166.10,64.80,7500,13500
2015 Apr 24,165.47,64.95,7400,14400
2015 Apr 25,164.85,64.84,8000,14200
2015 Apr 26,164.26,65.06,7500,14300
2015 Apr 27,163.67,64.56,7500,14400
2015 Apr 28,,,,
2015 Apr 29,,,,
2015 Apr 30,,,,
2015 May 01,161.63,65.24,8400,13100
2015 May 02,161.09,65.76,8300,13800
2015 May 03,160.69,65.41,8200,13800
2015 May 04,160.11,65.38,7800,14200
2015 May 05,159.54,65.93,7500,14100
2015 May 06,159.06,66.05,7900,13700
2015 May 07,158.39,65.61,7200,13700
2015 May 08,157.79,64.95,7000,13300
2015 May 09,157.11,65.33,7300,13300
2015 May 10,156.59,65.24,8500,13300
2015 May 11,156.28,65.22,8800,13600
2015 May 12,155.81,66.08,8500,13900
2015 May 13,155.40,65.69,8500,13900
2015 May 14,155.01,65.43,8600,13900
2015 May 15,154.73,65.39,9000,14800
2015 May 16,154.31,65.51,9000,14600
2015 May 17,153.88,65.17,8800,14600
2015 May 18,153.35,64.99,8600,15000
2015 May 19,152.94,65.98,8600,14100
2015 May 20,152.45,65.93,8000,13300
2015 May 21,152.17,65.29,8000,11700
2015 May 22,151.90,65.42,8000,11800
2015 May 23,151.58,65.71,9200,13200
2015 May 24,151.25,65.43,9200,13200
2015 May 25,150.87,65.68,9300,13400
2015 May 26,150.62,65.61,9500,13400
2015 May 27,150.27,65.79,9300,14400
2015 May 28,149.85,66.44,10000,15400
2015 May 29,149.69,66.43,13000,17100
2015 May 30,149.70,65.77,10500,19200
2015 May 31,149.39,65.63,10000,14000
2015 Jun 01,149.25,65.42,14000,14200
2015 Jun 02,149.57,64.23,11000,6750
2015 Jun 03,150.17,64.89,11000,6790
2015 Jun 04,151.17,64.89,16000,6690
2015 Jun 05,152.33,64.53,14500,6530
2015 Jun 06,153.39,64.66,14500,6440
2015 Jun 07,153.98,65.24,14500,13200
2015 Jun 08,153.70,65.84,14600,19100
2015 Jun 09,153.00,67.30,14800,10000
2015 Jun 10,152.41,67.28,14000,19100
2015 Jun 11,151.69,67.23,14000,19200
2015 Jun 12,150.91,67.71,12500,19100
2015 Jun 13,150.06,67.18,13000,18800
2015 Jun 14,149.09,66.76,14000,18700
2015 Jun 15,148.39,65.44,13500,18100
2015 Jun 16,147.86,66.65,19000,22200
2015 Jun 17,147.68,67.10,22500,22600
2015 Jun 18,147.40,67.29,15500,20900
2015 Jun 19,146.41,67.08,16500,21400
2015 Jun 20,145.36,66.45,16000,21300
2015 Jun 21,145.13,65.10,16000,14800
2015 Jun 22,145.40,64.91,16500,16100
2015 Jun 23,145.07,65.15,14400,18000
2015 Jun 24,145.16,65.02,15500,15900
2015 Jun 25,145.77,65.53,22000,16000
2015 Jun 26,145.05,67.91,26500,28500
2015 Jun 27,145.57,68.07,28000,27500
2015 Jun 28,146.10,67.53,19500,23800
2015 Jun 29,145.81,67.95,22000,25000
2015 Jun 30,145.46,68.16,33000,27600
2015 Jul 01,145.77,68.58,36000,30500
2015 Jul 02,146.56,68.62,27500,30000
2015 Jul 03,146.14,68.60,25000,30300
2015 Jul 04,146.27,68.19,24500,26900
2015 Jul 05,146.37,67.77,23800,25200
2015 Jul 06,146.55,67.97,27000,27300
2015 Jul 07,145.54,68.10,21400,26900
2015 Jul 08,145.28,67.65,20600,24900
2015 Jul 09,145.22,67.36,18300,21700
2015 Jul 10,145.32,66.46,17800,16400
2015 Jul 11,145.56,65.31,16000,15800
2015 Jul 12,145.43,65.31,16000,15800
2015 Jul 13,145.06,67.19,13800,19600
2015 Jul 14,145.18,65.39,14800,15100
2015 Jul 15,146.09,65.47,23500,17900
2015 Jul 16,145.10,65.70,23000,25000
2015 Jul 17,145.28,67.34,22300,24100
2015 Jul 18,145.28,67.65,20600,24900
2015 Jul 19,145.73,67.27,18800,20800
2015 Jul 20,145.71,67.53,18000,21600
2015 Jul 21,145.53,67.30,17200,21900
2015 Jul 22,145.20,66.98,19500,21300
2015 Jul 23,145.34,67.18,21500,19000
2015 Jul 24,145.12,67.24,21000,19000
2015 Jul 25,146.72,66.32,18500,18400
2015 Jul 26,146.86,66.66,16000,18400
2015 Jul 27,146.19,67.00,14500,20200
2015 Jul 28,146.24,65.18,14000,15300
2015 Jul 29,146.06,65.38,14000,16200
2015 Jul 30,145.94,65.66,14000,16500
2015 Jul 31,146.06,65.38,14000,16200
2015 Aug 01,145.50,65.87,13500,16000
2015 Aug 02,145.19,65.65,12500,16000
2015 Aug 03,145.23,65.19,11500,11700
2015 Aug 04,145.31,65.18,11500,11700
2015 Aug 05,145.40,65.11,12000,11700
2015 Aug 06,145.42,65.17,14000,14700
2015 Aug 07,145.33,66.09,14800,17100
2015 Aug 08,145.33,65.95,13500,17000
2015 Aug 09,145.15,65.71,14500,16900
2015 Aug 10,145.27,65.87,15500,17100
2015 Aug 11,145.44,65.69,16000,16800
2015 Aug 12,145.63,64.92,16000,15300
2015 Aug 13,145.83,65.32,16100,16600
2015 Aug 14,145.88,65.66,15400,16700
2015 Aug 15,145.72,64.92,13700,16500
2015 Aug 16,145.72,64.59,14800,14700
2015 Aug 17,145.71,64.91,19000,16600
2015 Aug 18,146.19,65.23,28500,18600
2015 Aug 19,148.74,65.01,29500,17700
2015 Aug 20,150.65,65.96,28500,18400
2015 Aug 21,151.99,65.42,24000,18400
2015 Aug 22,152.78,65.04,20000,18300
2015 Aug 23,152.96,64.95,16700,18200
2015 Aug 24,152.81,65.05,15500,18500
2015 Aug 25,152.42,64.89,15000,18600
2015 Aug 26,151.95,65.11,17000,18500
2015 Aug 27,152.04,65.24,19800,18400
2015 Aug 28,152.26,65.20,18500,18400
2015 Aug 29,152.35,65.21,19200,18800
2015 Aug 30,152.60,65.27,19200,18800
2015 Aug 31,,,,
2015 Sep 01,152.65,64.98,16200,18700
2015 Sep 02,152.42,65.36,16500,18500
2015 Sep 03,152.54,65.24,19500,18500
2015 Sep 04,152.93,64.94,19200,18300
2015 Sep 05,152.54,64.24,19500,18500
2015 Sep 06,152.42,65.36,16500,18500
2015 Sep 07,154.75,65.10,26500,17900
2015 Sep 08,155.86,65.45,26500,20400
2015 Sep 09,155.96,67.44,24000,24600
2015 Sep 10,155.89,67.76,24000,24800
2015 Sep 11,156.13,67.86,32000,24700
2015 Sep 12,157.39,67.81,36500,24700
2015 Sep 13,158.47,67.63,31500,23600
2015 Sep 14,159.70,67.73,25500,24200
2015 Sep 15,160.29,67.32,21200,20700
2015 Sep 16,160.27,67.31,20800,21600
2015 Sep 17,160.30,67.29,20800,21500
2015 Sep 18,160.58,67.11,24500,21400
2015 Sep 19,161.17,67.14,27000,21200
2015 Sep 20,162.03,67.22,26000,20800
2015 Sep 21,162.66,66.96,26000,21100
2015 Sep 22,163.27,67.04,25100,20100
2015 Sep 23,163.57,67.19,22000,21200
2015 Sep 24,163.88,67.12,24500,21100
2015 Sep 25,164.28,67.04,24000,21000
2015 Sep 26,165.06,65.16,20500,18100
2015 Sep 27,165.57,65.03,21000,18000
2015 Sep 28,165.95,65.13,21000,18100
2015 Sep 29,166.23,64.86,20000,18800
2015 Sep 30,166.37,65.21,18800,18800
2015 Oct 01,166.86,66.82,21500,16900
2015 Oct 02,167.77,65.65,26500,16500
2015 Oct 03,168.72,65.55,21000,16500
2015 Oct 04,169.20,65.51,19000,16400
2015 Oct 05,169.57,65.01,18500,16500
2015 Oct 06,169.90,65.95,17500,16600
2015 Oct 07,170.16,65.11,16800,16500
2015 Oct 08,170.27,65.49,16000,16500
2015 Oct 09,170.42,65.68,16000,16500
2015 Oct 10,170.56,65.80,17600,16500
2015 Oct 11,170.96,65.45,17000,14300
2015 Oct 12,171.38,65.47,20000,14300
2015 Oct 13,172.02,65.26,18500,14200
2015 Oct 14,172.57,65.06,17500,14100
2015 Oct 15,172.86,64.39,15000,13000
2015 Oct 16,172.89,64.51,13500,14000
2015 Oct 17,172.87,64.63,13000,13900
2015 Oct 18,172.87,65.59,14000,15000
2015 Oct 19,172.94,65.68,13500,15000
2015 Oct 20,173.31,64.78,13000,11300
2015 Oct 21,173.56,64.65,13000,11300
2015 Oct 22,173.77,65.40,12300,11300
2015 Oct 23,173.98,64.92,12000,11300
2015 Oct 24,174.06,65.19,11800,11300
2015 Oct 25,174.22,65.23,11800,11300
2015 Oct 26,174.43,65.43,13500,11300
2015 Oct 27,174.72,65.82,13000,11800
2015 Oct 28,174.82,65.58,13500,14700
2015 Oct 29,174.97,66.66,14000,13700
2015 Oct 30,174.83,64.83,13000,14700
2015 Oct 31,174.70,64.97,12800,14700
2015 Nov 01,174.62,64.87,12200,14400
2015 Nov 02,174.44,64.58,12000,14400
2015 Nov 03,174.37,64.77,12000,14400
2015 Nov 04,174.30,64.76,11500,14400
2015 Nov 05,174.04,64.74,10500,14500
2015 Nov 06,173.93,65.19,9200,13100
2015 Nov 07,174.01,64.65,9800,8810
2015 Nov 08,174.24,65.25,9500,8830
2015 Nov 09,174.41,65.21,9100,9340
2015 Nov 10,174.41,65.23,9100,10300
2015 Nov 11,174.32,64.55,8600,10800
2015 Nov 12,174.31,64.91,8500,10800
2015 Nov 13,174.29,65.06,8500,10800
2015 Nov 14,174.21,64.25,8500,10100
2015 Nov 15,174.21,65.04,8500,10100
2015 Nov 16,174.12,64.90,8300,10800
2015 Nov 17,174.04,60.04,8300,10800
2015 Nov 18,174.00,65.21,8300,10100
2015 Nov 19,173.94,65.03,7400,8050
2015 Nov 20,173.97,65.03,7400,8050
2015 Nov 21,174.00,64.98,6800,6690
2015 Nov 22,173.99,64.91,6300,6690
2015 Nov 23,173.89,65.36,6000,6720
2015 Nov 24,173.92,65.51,6000,6730
2015 Nov 25,173.97,65.78,5900,6740
2015 Nov 26,173.92,65.98,6000,6750
2015 Nov 27,173.95,66.12,6000,6760
2015 Nov 28,173.93,66.05,6000,6760
2015 Nov 29,173.98,66.10,6300,6750
2015 Nov 30,174.00,66.02,6400,6750
2015 Dec 01,174.08,66.00,6400,6760
2015 Dec 02,174.09,65.94,6340,6740
2015 Dec 03,174.08,66.07,6340,6750
2015 Dec 04,174.11,66.05,6300,6750
2015 Dec 05,174.10,66.05,6200,6770
2015 Dec 06,174.10,66.00,6200,6750
2015 Dec 07,174.18,65.93,6500,6740
2015 Dec 08,174.21,65.80,6100,7000
2015 Dec 09,174.24,65.94,6300,7010
2015 Dec 10,174.22,66.08,6300,7010
2015 Dec 11,174.22,66.07,6400,7020
2015 Dec 12,174.33,65.98,6700,7000
2015 Dec 13,174.44,65.88,6700,6980
2015 Dec 14,174.41,65.95,6600,8460
2015 Dec 15,174.35,66.82,6400,8450
2015 Dec 16,174.25,65.87,6400,8460
2015 Dec 17,174.31,65.98,6900,7770
2015 Dec 18,174.38,66.04,7000,7770
2015 Dec 19,174.45,65.87,7000,7760
2015 Dec 20,174.46,65.80,7000,7750
2015 Dec 21,174.46,65.84,6800,7740
2015 Dec 22,174.47,65.93,6800,7750
2015 Dec 23,174.41,65.98,6600,7750
2015 Dec 24,174.38,65.86,6500,7750
2015 Dec 25,174.24,65.75,6400,7750
2015 Dec 26,174.21,65.39,6200,7730
2015 Dec 27,174.03,65.36,6200,7040
2015 Dec 28,174.93,65.53,6300,7060
2015 Dec 29,173.93,66.04,6000,7080
2015 Dec 30,173.93,66.07,5900,7090
2015 Dec 31,173.95,65.92,6100,7080
2016 Jan 01,174.03,65.77,6200,7060
2016 Jan 02,173.99,65.78,6000,7070
2016 Jan 03,173.95,65.89,6000,7070
2016 Jan 04,173.84,65.69,5900,7770
2016 Jan 05,173.71,65.77,5800,7790
2016 Jan 06,173.63,65.81,6100,7780
2016 Jan 07,173.59,65.31,6100,7780
2016 Jan 08,173.50,65.15,6100,7770
2016 Jan 09,173.43,65.11,6200,7770
2016 Jan 10,173.36,65.06,6500,7770
2016 Jan 11,173.30,65.10,6400,7790
2016 Jan 12,173.25,65.24,6600,7790
2016 Jan 13,173.25,65.22,6500,7780
2016 Jan 14,173.23,65.15,6500,7780
2016 Jan 15,173.17,64.69,6700,7760
2016 Jan 16,173.23,64.85,6700,7770
2016 Jan 17,173.22,64.64,6600,7760
2016 Jan 18,173.09,64.68,6200,7760
2016 Jan 19,172.96,64.20,6000,7750
2016 Jan 20,172.87,63.57,5800,7300
2016 Jan 21,172.46,63.60,5800,7310
2016 Jan 22,172.46,63.62,6000,8450
2016 Jan 23,172.32,64.38,6000,8510
2016 Jan 24,172.08,64.41,6200,8530
2016 Jan 25,171.86,64.79,6800,9990
2016 Jan 26,171.71,64.69,6800,10000
2016 Jan 27,171.56,64.53,6800,10000
2016 Jan 28,171.46,64.17,6700,9990
2016 Jan 29,171.22,64.21,6500,10000
2016 Jan 30,170.97,64.27,6300,10000
2016 Jan 31,170.82,64.31,6300,10100
2016 Feb 01,170.81,65.27,6300,7970
2016 Feb 02,170.77,65.44,6800,7980
2016 Feb 03,170.76,64.87,6800,7930
2016 Feb 04,170.78,65.42,6500,7760
2016 Feb 05,170.79,65.55,6800,7970
2016 Feb 06,170.82,65.80,6800,7980
2016 Feb 07,170.89,65.52,6800,7240
2016 Feb 08,170.82,65.78,6400,7270
2016 Feb 09,170.75,65.77,6000,7270
2016 Feb 10,170.60,65.60,5500,7270
2016 Feb 11,170.47,65.51,5300,7260
2016 Feb 12,170.40,65.54,5300,7270
2016 Feb 13,170.25,65.51,5300,7230
2016 Feb 14,170.15,65.31,5300,7280
2016 Feb 15,170.04,65.42,5200,8010
2016 Feb 16,169.90,65.45,5400,8020
2016 Feb 17,169.72,65.11,5500,8010
2016 Feb 18,169.58,65.39,5700,8040
2016 Feb 19,169.42,65.14,5700,8070
2016 Feb 20,169.31,65.33,5600,8070
2016 Feb 21,169.12,65.41,5600,8080
2016 Feb 22,169.07,65.35,5700,8080
2016 Feb 23,168.87,65.50,6200,8110
2016 Feb 24,168.76,65.44,6400,8110
2016 Feb 25,168.70,65.80,6300,8070
2016 Feb 26,168.62,65.18,6500,8100
2016 Feb 27,168.55,65.31,6700,8110
2016 Feb 28,168.49,65.15,6700,8110
2016 Feb 29,168.32,65.46,6600,8140
2016 Mar 01,168.22,65.48,6400,8170
2016 Mar 02,168.13,64.08,6300,8130
2016 Mar 03,168.02,64.83,6200,8130
2016 Mar 04,167.87,64.37,5900,8100
2016 Mar 05,167.67,64.45,6000,8120
2016 Mar 06,167.48,64.54,5900,8140
2016 Mar 07,167.28,65.03,5800,8190
2016 Mar 08,167.11,65.51,6000,8240
2016 Mar 09,167.05,65.36,6000,8240
2016 Mar 10,167.10,65.10,7000,8210
2016 Mar 11,167.20,65.10,7020,8210
2016 Mar 12,167.30,65.09,8000,8200
2016 Mar 13,167.41,65.28,8800,8200
2016 Mar 14,167.44,65.26,8500,8200
2016 Mar 15,167.44,64.99,8300,8180
2016 Mar 16,167.37,65.20,7800,8240
2016 Mar 17,167.28,65.31,7000,8180
2016 Mar 18,167.18,65.31,7000,8150
2016 Mar 19,166.99,64.74,6800,8160
2016 Mar 20,166.84,64.76,6800,8170
2016 Mar 21,166.64,64.62,6500,8220
2016 Mar 22,166.46,64.66,6500,8240
2016 Mar 23,166.37,64.64,7200,8240
2016 Mar 24,166.37,64.46,8000,8240
2016 Mar 25,166.41,64.45,9200,8240
2016 Mar 26,166.58,64.46,9700,8220
2016 Mar 27,166.73,64.90,9000,8240
2016 Mar 28,166.82,64.81,8800,8230
2016 Mar 29,166.83,65.02,8700,8260
2016 Mar 30,166.53,65.02,8700,8260
2016 Mar 31,166.94,64.63,8200,8220
2016 Apr 01,166.95,64.25,8100,8180
2016 Apr 02,166.87,64.10,7500,8170
2016 Apr 03,166.81,64.35,8200,8750
2016 Apr 04,166.77,64.43,7800,8760
2016 Apr 05,166.66,64.89,8300,10000
2016 Apr 06,166.58,64.72,8200,10300
2016 Apr 07,166.54,64.31,9000,10500
2016 Apr 08,166.40,64.45,9000,10500
2016 Apr 09,166.28,64.57,8600,10500
2016 Apr 10,166.23,64.52,9000,10500
2016 Apr 11,166.04,64.62,9000,11300
2016 Apr 12,165.74,64.29,9500,10700
2016 Apr 13,165.45,64.18,9200,12200
2016 Apr 14,164.97,64.37,9300,12300
2016 Apr 15,164.69,64.32,9800,12300
2016 Apr 16,164.48,64.38,10700,13100
2016 Apr 17,164.49,64.52,13500,13100
2016 Apr 18,164.48,64.35,13300,13100
2016 Apr 19,164.40,64.22,12800,13600
2016 Apr 20,163.95,64.26,10800,13400
2016 Apr 21,164.17,64.31,11400,13400
2016 Apr 22,163.95,64.26,10800,13400
2016 Apr 23,163.63,64.56,11500,15000
2016 Apr 24,163.35,65.35,12000,16700
2016 Apr 25,162.91,66.16,11000,16900
2016 Apr 26,162.32,65.55,10800,16900
2016 Apr 27,161.78,65.31,10800,17000
2016 Apr 28,161.20,65.16,11000,17000
2016 Apr 29,160.83,64.82,10500,15000
2016 Apr 30,159.93,66.69,10200,16900
2016 May 01,159.56,65.27,10000,16200
2016 May 02,159.01,65.43,10000,17500
2016 May 03,158.44,65.17,10000,17600
2016 May 04,157.94,64.90,9800,16400
2016 May 05,157.35,65.66,10000,17000
2016 May 06,156.98,64.93,10200,15300
2016 May 07,156.36,65.49,14000,17100
2016 May 08,156.52,64.70,16000,17000
2016 May 09,156.69,64.93,19000,17000
2016 May 10,156.91,66.16,17500,19400
2016 May 11,156.62,66.34,14500,19500
2016 May 12,156.01,66.59,14000,19700
2016 May 13,155.63,66.37,14200,19900
2016 May 14,154.82,66.61,15000,20100
2016 May 15,154.17,67.31,16000,22300
2016 May 16,153.56,67.12,13000,20900
2016 May 17,153.40,67.14,13000,18100
2016 May 18,152.97,66.37,13000,18600
